2026-08-19 23:53:16.805 [main] [--] INFO  order-service-c.netflix.discovery.DiscoveryClient - Starting heartbeat executor: renew interval is: 30
2026-08-19 23:53:16.806 [main] [--] INFO  order-service-c.n.discovery.InstanceInfoReplicator - InstanceInfoReplicator onDemand update allowed rate per min is 4
2026-08-19 23:53:16.808 [main] [--] INFO  order-service-c.netflix.discovery.DiscoveryClient - Discovery Client initialized at timestamp 1787163796807 with initial instances count: 2
2026-08-19 23:53:16.824 [main] [--] INFO  order-service-o.s.c.n.e.s.EurekaServiceRegistry - Registering application ORDER-SERVICE with eureka with status UP
2026-08-19 23:53:16.825 [main] [--] INFO  order-service-c.netflix.discovery.DiscoveryClient - Saw local status change event StatusChangeEvent [timestamp=1787163796825, current=UP, previous=STARTING]
2026-08-19 23:53:16.826 [main] [--] INFO  order-service-o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9092"]
2026-08-19 23:53:16.826 [DiscoveryClient-InstanceInfoReplicator-%d] [--] INFO  order-service-c.netflix.discovery.DiscoveryClient - DiscoveryClient_ORDER-SERVICE/TANISH.mshome.net:order-service:9092: registering service...
2026-08-19 23:53:16.845 [main] [--] INFO  order-service-o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 9092 (http) with context path '/orders'
2026-08-19 23:53:16.845 [main] [--] INFO  order-service-o.s.c.n.e.s.EurekaAutoServiceRegistration - Updating port to 9092
2026-08-19 23:53:16.857 [DiscoveryClient-InstanceInfoReplicator-%d] [--] INFO  order-service-c.netflix.discovery.DiscoveryClient - DiscoveryClient_ORDER-SERVICE/TANISH.mshome.net:order-service:9092 - registration status: 204
2026-08-19 23:53:16.869 [main] [--] INFO  order-service-c.t.e.o.OrderServiceApplication - Started OrderServiceApplication in 7.231 seconds (process running for 7.781)
2026-08-19 23:58:16.425 [AsyncResolver-bootstrap-executor-%d] [--] INFO  order-service-c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
